voxel,face,place,object,x,y,z,subject,class,cluster
3398,-1.028021993506731e-4,9.46615232175224e-5,8.140676133150704e-6,41.573,-40.982,17.364,8,place,2
3427,-2.0360503904657694e-5,-3.6077141561838214e-5,5.64376454664959e-5,-38.459,-29.49,21.575,8,object,3
3541,3.050433825063592e-5,-1.4658612548707e-4,1.1608178723643406e-4,43.862,60.584,21.293,8,object,3
3542,6.847557105907162e-5,-1.301815050999256e-4,6.170593404085399e-5,47.467,60.743,21.13,8,object,3
3551,8.908399597392875e-5,-1.7063498829933264e-4,8.155099232540387e-5,47.284,64.493,21.287,8,object,3
3553,-8.857133495207993e-6,-8.14683538682038e-5,9.03254873634118e-5,-53.828,63.778,26.002,8,object,3
3554,-4.6627730625514766e-5,-4.0537432196330294e-5,8.716516282184506e-5,-50.224,63.938,25.839,8,object,3
3566,-1.11048791681457e-4,-2.679678041795972e-5,1.3784557209941671e-4,54.311,68.561,21.119,8,object,3
3567,-2.9459275428080527e-5,-5.733088603590509e-5,8.679016146398562e-5,-54.011,67.528,26.16,8,object,3
3575,-7.571861481790759e-5,-4.699159473893267e-5,1.2271020955684025e-4,-14.359,69.282,24.369,8,object,3
358,-3.151375487801574e-5,-9.453623026409611e-5,1.2604998514211186e-4,-16.792,-5.2937,-21.3,8,object,3
3581,-7.668986270542303e-5,8.597806281147156e-5,-9.2882001060485185e-06,18.083,70.717,22.905,8,place,2
3589,-1.1747747326290787e-4,5.562892930951559e-5,6.184854395339227e-5,-43.379,71.756,25.829,8,place,2
3592,9.220076827497377e-7,1.4013851302820013e-4,-1.410605207109499e-4,-32.565,72.235,25.341,8,place,2
36,-5.9455188824778166e-5,-6.290367503040968e-5,1.2235886385518786e-4,25.922,-5.9482,-35.008,8,object,3
3603,-6.693820360610462e-5,-1.021251792075151e-4,1.690633828136197e-4,32.319,75.104,22.411,8,object,3
3604,-1.0800313017002929e-4,-5.550351225818518e-5,1.6350664242821444e-4,35.924,75.263,22.248,8,object,3
3609,-3.363868851813644e-5,1.6228255828190424e-4,-1.286438697637678e-4,-36.352,75.825,25.661,8,place,2
3610,-8.494395281327155e-5,2.5181355718102174e-4,-1.6686960436775017e-4,-32.747,75.984,25.498,8,place,2
3611,-4.858600743390233e-5,1.2812182112830988e-4,-7.953581369440757e-5,-29.142,76.143,25.336,8,place,2
3613,-4.405969510463185e-5,-1.6358273874263248e-4,2.0764243384726434e-4,-11.119,76.941,24.522,8,object,3
3620,-9.669383280390493e-5,2.059188728090518e-4,-1.0922504000514686e-4,-36.534,79.575,25.819,8,place,2
3621,-1.0950746703705879e-4,2.032756822807521e-4,-9.376821524369331e-5,-29.325,79.894,25.493,8,place,2
3625,3.0716871715761703e-5,-2.7327527968623924e-4,2.4255840797047755e-4,-11.301,80.691,24.679,8,object,3
3630,-4.628797892764357e-5,-5.060483232113707e-5,9.689281124878064e-5,35.559,82.764,22.563,8,object,3
3631,-1.4776214658335378e-4,2.0477129825684405e-4,-5.700915167349028e-5,-29.507,83.644,25.651,8,place,2
364,2.2809003375317477e-6,1.13404617591912e-4,-1.1568551792944375e-4,-45.811,-2.8191,-19.84,8,place,2
3655,-3.361281623970169e-5,-1.506334007353032e-4,1.8424621697500488e-4,-15.496,-51.427,23.519,8,object,3
3714,-9.332475085024128e-5,-3.0510948487888356e-5,1.2383569933812962e-4,-34.43,-33.474,25.12,8,object,3
3721,-4.659123102929169e-5,-4.794292753903949e-5,9.453415856833118e-5,-38.217,-29.884,25.441,8,object,3
3731,7.4213997907364605e-6,-9.878374463591171e-5,9.136234484517524e-5,-42.186,-22.544,25.919,8,object,3
3733,-4.573880297120448e-5,-7.309377583698889e-5,1.1883257880819338e-4,40.721,-18.876,22.175,8,object,3
3759,-1.9044267437988625e-6,1.4282952902555657e-4,-1.4092510228175769e-4,-54.094,-0.52328,27.352,8,place,2
3770,-5.846168789505153e-5,1.1594723633076803e-4,-5.748554843571651e-5,-54.458,6.9766,27.667,8,place,2
3829,1.2470370349301519e-4,-2.140323951128923e-4,8.93286916198771e-5,58.704,57.077,24.35,8,object,3
